#TYPE System.Management.Automation.PSCustomObject
"Article","LineNumber","Term","Line"
"\platform\api-alerts.md","63","log analytics","Use the Put method with a unique schedule ID to create a new schedule.  Note that two schedules cannot have the same ID even if they are associated with different saved searches.  When you create a schedule in the Log Analytics console, a GUID is created for the schedule ID."
"\platform\api-alerts.md","66","log analytics","> The name for all saved searches, schedules, and actions created with the Log Analytics API must be in lowercase."
"\platform\api-alerts.md","98","log analytics","> Beginning May 14, 2018, all alerts in a Azure public cloud instance of Log Analytics workspace will be automatically extended to Azure. A user can voluntarily initiate extending alerts to Azure before May 14, 2018. For more information, see [Extend Alerts into Azure from Log Analytics](../../monitoring-and-diagnostics/monitoring-alerts-extend.md). For users that extend alerts to Azure, actions are now controlled in Azure action groups. When a workspace and its alerts are extended to Azure, you can retrieve or add actions by using the [Action Group API](https://docs.microsoft.com/rest/api/monitor/actiongroups)."
"\platform\api-alerts.md","109","log analytics","Use the Put method with an action ID that is unique to the schedule to create a new action.  When you create an action in the Log Analytics console, a GUID is for the action ID."
"\platform\api-alerts.md","112","log analytics","> The name for all saved searches, schedules, and actions created with the Log Analytics API must be in lowercase."
"\platform\api-alerts.md","121","log analytics","> Beginning May 14, 2018, all alerts in a Azure public cloud instance of Log Analytics workspace will be automatically extended to Azure. A user can voluntarily initiate extending alerts to Azure before May 14, 2018. For more information, see [Extend Alerts into Azure from Log Analytics](../../monitoring-and-diagnostics/monitoring-alerts-extend.md). For users that extend alerts to Azure, actions are now controlled in Azure action groups. When a workspace and its alerts are extended to Azure, you can retrieve or add actions by using the [Action Group API](https://docs.microsoft.com/rest/api/monitor/actiongroups)."
"\platform\api-alerts.md","142","log analytics","> Beginning May 14, 2018, all alerts in a Azure public cloud instance of Log Analytics workspace will be automatically extended to Azure. A user can voluntarily initiate extending alerts to Azure before May 14, 2018. For more information, see [Extend Alerts into Azure from Log Analytics](../../monitoring-and-diagnostics/monitoring-alerts-extend.md)."
"\platform\api-alerts.md","182","log analytics","|Log Analytics Severity Level  |Azure Alerts Severity Level  |"
"\platform\api-alerts.md","214","log analytics","Suppress property of Log Analytics alert rule is specified using the *Throttling* value and the suppression period using *DurationInMinutes* value."
"\platform\api-alerts.md","314","log analytics","By default, the webhook sent via Action Group for log analytics has a fixed structure. But one can customize the JSON payload by using specific variables supported, to meet requirements of the webhook endpoint. For more information, see [Webhook action for log alert rules](../../monitoring-and-diagnostics/monitor-alerts-unified-log-webhook.md). "
"\platform\api-alerts.md","352","log analytics","> Beginning May 14, 2018, all alerts in a Azure public cloud instance of Log Analytics workspace will be automatically extended to Azure. A user can voluntarily initiate extending alerts to Azure before May 14, 2018. For more information, see [Extend Alerts into Azure from Log Analytics](../../monitoring-and-diagnostics/monitoring-alerts-extend.md). For users that extend alerts to Azure, actions like E-Mail Notification are now controlled in Azure action groups. When a workspace and its alerts are extended to Azure, you can retrieve or add actions by using the [Action Group API](https://docs.microsoft.com/rest/api/monitor/actiongroups)."
"\platform\api-alerts.md","396","log analytics","> Beginning May 14, 2018, all alerts in a Azure public cloud instance of Log Analytics workspace will be automatically extended to Azure. A user can voluntarily initiate extending alerts to Azure before May 14, 2018. For more information, see [Extend Alerts into Azure from Log Analytics](../../monitoring-and-diagnostics/monitoring-alerts-extend.md). For users that extend alerts to Azure, actions like Remediation using runbook are now controlled in Azure action groups. When a workspace and its alerts are extended to Azure, you can retrieve or add actions by using the [Action Group API](https://docs.microsoft.com/rest/api/monitor/actiongroups)."
"\platform\api-alerts.md","402","log analytics","| RunbookName |Name of the runbook. This must match a published runbook in the automation account configured in the Automation Solution in your Log Analytics workspace. |"
"\platform\api-alerts.md","455","log analytics","> Beginning May 14, 2018, all alerts in a Azure public cloud instance of Log Analytics workspace will be automatically extended to Azure. A user can voluntarily initiate extending alerts to Azure before May 14, 2018. For more information, see [Extend Alerts into Azure from Log Analytics](../../monitoring-and-diagnostics/monitoring-alerts-extend.md). For users that extend alerts to Azure, actions like Webhook are now controlled in Azure action groups. When a workspace and its alerts are extended to Azure, you can retrieve or add actions by using the [Action Group API](https://docs.microsoft.com/rest/api/monitor/actiongroups)."
